storm_id,hit,minCenterDist_km,firstHitTime_utc
1108,0,224.640650971014,NaT
1109,0,1561.63322436767,NaT
1110,0,4257.49306782267,NaT
1111,0,617.075695027403,NaT
1112,0,2488.39774894319,NaT
1113,0,3707.04703842575,NaT
1114,0,1882.09707133693,NaT
1115,0,1850.25276432771,NaT
1116,0,3186.83125444135,NaT
1117,1,137.203578482899,2011-Sep-28 18:00:00
1118,0,437.561137878244,NaT
1119,0,338.837190486472,NaT
1120,0,605.425359890407,NaT
1121,0,1256.36010709441,NaT
1201,0,1187.0645909722,NaT
1202,0,2775.86871363766,NaT
1203,0,1340.81946060893,NaT
1204,0,1537.06308820096,NaT
1205,0,164.867376193351,NaT
1206,0,153.331832715854,NaT
1207,0,1756.30896718555,NaT
1208,1,150.520947634482,2012-Jul-23 06:00:00
1209,0,514.293890034211,NaT
1210,0,1699.46245578722,NaT
1211,0,1111.35252377913,NaT
1212,0,4179.23352492001,NaT
1213,1,94.8944710532314,2012-Aug-16 12:00:00
1214,0,467.231190777819,NaT
1215,0,1683.74758761524,NaT
1216,0,1700.22732048343,NaT
1217,0,1214.15075134004,NaT
1218,0,2710.80514510824,NaT
1219,0,2964.74203532307,NaT
1220,0,508.731682395328,NaT
1221,0,1676.99092987177,NaT
1222,0,2923.57228024446,NaT
1223,0,486.157371065707,NaT
1224,0,674.904891973095,NaT
1225,0,1213.91684622319,NaT
1301,0,1440.73521798348,NaT
1302,0,1513.61280588445,NaT
1303,0,1879.2789086411,NaT
1304,0,1351.78170576055,NaT
1305,0,202.664108313095,NaT
1306,0,140.837129136598,NaT
1307,0,844.074814831818,NaT
1308,0,571.196814643404,NaT
1309,0,178.966711599458,NaT
1310,0,512.23322560091,NaT
1311,1,37.1285683039593,2013-Aug-13 06:00:00
1312,0,589.440994799384,NaT
1313,0,5373.25280418763,NaT
1314,0,6994.35570115067,NaT
1315,0,1080.39425382174,NaT
1316,0,5750.4721509207,NaT
1317,0,1081.78231039261,NaT
1318,0,2386.69235118506,NaT
1319,0,297.735390401171,NaT
1320,0,2778.32288773542,NaT
1321,0,460.736288422923,NaT
1322,0,3105.68723482651,NaT
1323,0,880.35626612291,NaT
1324,0,1754.55731125122,NaT
1325,0,565.067576529391,NaT
1326,0,2270.18547911685,NaT
1327,0,1848.10995993632,NaT
